song_id,title,artist,language,Hybrid RecSys,collaborative Filtering,context,instrumentation,mood_tags,status,lyrics,emotion_label,genre,release_year,duration_sec,tempo,key,energy,valence,mfcc_mean,audio_path,lyrics_path
1,Kal Ho Naa Ho,Sonu Nigam,Hindi,Yes,Yes,,,,active,Har ghadi badal rahi hai roop zindagi...,Hopeful,Bollywood,2003,320,90,C,0.7,0.8,0.45,audio/kal_ho_naa_ho.mp3,lyrics/kal_ho_naa_ho.txt
2,Kajra Re,"Alisha Chinoy, Shankar Mahadevan, Javed Ali",Hindi,Yes,Yes,,,,active,Kajra re kajra re tere kare kare naina...,Playful,Bollywood,2005,270,120,D,0.85,0.9,0.5,audio/kajra_re.mp3,lyrics/kajra_re.txt
3,Ajeeb Dastan Hai Yeh,Lata Mangeshkar,Hindi,Yes,Yes,,,,active,"Ajeeb dastan hai yeh, kahan shuru kahan khatam...",Melancholic,Bollywood,1960,240,85,F,0.4,0.3,0.4,audio/ajeeb_dastan_hai_yeh.mp3,lyrics/ajeeb_dastan_hai_yeh.txt
4,Mehndi Laga Ke Rakhna,"Lata Mangeshkar, Udit Narayan",Hindi,Yes,Yes,,,,active,Mehndi laga ke rakhna doli saja ke rakhna...,Festive,Bollywood,1994,300,110,G,0.75,0.9,0.52,audio/mehndi_laga_ke_rakhna.mp3,lyrics/mehndi_laga_ke_rakhna.txt
5,Iktara,"Kavita Seth, Amitabh Bhattacharya",Hindi,Yes,Yes,,,,active,Ik tara bole to kya bole...,Calm,Bollywood,2008,250,75,A,0.5,0.6,0.44,audio/iktara.mp3,lyrics/iktara.txt
6,Baharon Phool Barsao,Mohammed Rafi,Hindi,Yes,Yes,,,,active,"Baharon phool barsao, mera mehboob aaya hai...",Romantic,Bollywood,1966,280,95,E,0.6,0.7,0.47,audio/baharon_phool_barsao.mp3,lyrics/baharon_phool_barsao.txt
7,Tum Hi Ho,Arijit Singh,Hindi,Yes,Yes,,,,active,Hum tere bin ab reh nahi sakte...,Romantic,Bollywood,2013,350,65,B,0.55,0.6,0.49,audio/tum_hi_ho.mp3,lyrics/tum_hi_ho.txt
8,Tera Ban Jaunga,"Akhil Sachdeva, Tulsi Kumar",Hindi,Yes,Yes,,,,active,Main tera ban jaunga...,Romantic,Bollywood,2018,280,70,C,0.6,0.7,0.46,audio/tera_ban_jaunga.mp3,lyrics/tera_ban_jaunga.txt
9,Channa Mereya,Arijit Singh,Hindi,Yes,Yes,,,,active,Acha chalta hoon...,Sad,Bollywood,2016,330,60,D,0.4,0.3,0.42,audio/channa_mereya.mp3,lyrics/channa_mereya.txt
10,Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Hindi,Yes,Yes,,,,active,Tujh mein rab dikhta hai...,Devotional,Bollywood,2008,310,80,G,0.5,0.6,0.48,audio/tujh_mein_rab_dikhta_hai.mp3,lyrics/tujh_mein_rab_dikhta_hai.txt
11,Jeene Laga Hoon,"Atif Aslam, Shreya Ghoshal",Hindi,Yes,Yes,,,,active,Jeene laga hoon pehle se zyada...,Romantic,Bollywood,2009,295,85,A,0.6,0.7,0.47,audio/jeene_laga_hoon.mp3,lyrics/jeene_laga_hoon.txt
12,Raabta,Arijit Singh,Hindi,Yes,Yes,,,,active,Kehte hain khuda ne is jahan mein sabhi ke liye...,Romantic,Bollywood,2012,300,75,C,0.55,0.65,0.45,audio/raabta.mp3,lyrics/raabta.txt
13,Tera Yaar Hoon Main,Arijit Singh,Hindi,Yes,Yes,,,,active,Tera yaar hoon main...,Friendship,Bollywood,2018,310,90,B,0.7,0.8,0.5,audio/tera_yaar_hoon_main.mp3,lyrics/tera_yaar_hoon_main.txt
14,Dil Diyan Gallan,Atif Aslam,Hindi,Yes,Yes,,,,active,Dil diyan gallan...,Romantic,Bollywood,2017,305,85,F,0.6,0.7,0.48,audio/dil_diyan_gallan.mp3,lyrics/dil_diyan_gallan.txt
15,Pee Loon,Mohit Chauhan,Hindi,Yes,Yes,,,,active,Tere bina beswaadi beswaadi raat meri...,Romantic,Bollywood,2010,290,80,E,0.5,0.6,0.45,audio/pee_loon.mp3,lyrics/pee_loon.txt
16,Sun Saathiya,"Priya Saraiya, Divya Kumar",Hindi,Yes,Yes,,,,active,Sun saathiya...,Romantic,Bollywood,2015,320,95,C,0.65,0.75,0.5,audio/sun_saathiya.mp3,lyrics/sun_saathiya.txt
17,Galliyan,Ankit Tiwari,Hindi,Yes,Yes,,,,active,Galliyan galliyan teri galliyan...,Romantic,Bollywood,2014,300,90,G,0.6,0.7,0.48,audio/galliyan.mp3,lyrics/galliyan.txt
18,Tum Mile,Neeraj Shridhar,Hindi,Yes,Yes,,,,active,Tum mile to...,Romantic,Bollywood,2009,280,85,A,0.55,0.65,0.46,audio/tum_mile.mp3,lyrics/tum_mile.txt
19,Muskurane,Arijit Singh,Hindi,Yes,Yes,,,,active,Muskurane ki wajah tum ho...,Romantic,Bollywood,2014,310,75,B,0.6,0.7,0.49,audio/muskurane.mp3,lyrics/muskurane.txt
20,Tum Mile,Neeraj Shridhar,Hindi,Yes,Yes,,,,active,Tum mile to mil gaya yeh jahaan...,Romantic,Bollywood,2009,290,85,F,0.55,0.65,0.46,audio/tum_mile.mp3,lyrics/tum_mile.txt
21,Shape of You,Ed Sheeran,English,Yes,Yes,,,,active,The club isn't the best place to find a lover...,Energetic,Pop,2017,240,96,C#,0.8,0.9,0.52,audio/shape_of_you.mp3,lyrics/shape_of_you.txt
22,Someone Like You,Adele,English,Yes,Yes,,,,active,I heard that you're settled down...,Melancholic,Pop,2011,285,67,A,0.4,0.3,0.45,audio/someone_like_you.mp3,lyrics/someone_like_you.txt
23,Bohemian Rhapsody,Queen,English,Yes,Yes,,,,active,Is this the real life? Is this just fantasy?...,Dramatic,Rock,1975,355,72,Bb,0.7,0.6,0.53,audio/bohemian_rhapsody.mp3,lyrics/bohemian_rhapsody.txt
24,Happy,Pharrell Williams,English,Yes,Yes,,,,active,Because I'm happy...,Happy,Pop,2013,233,160,F,0.9,0.95,0.6,audio/happy.mp3,lyrics/happy.txt
25,Let It Be,The Beatles,English,Yes,Yes,,,,active,When I find myself in times of trouble...,Calm,Rock,1970,243,72,C,0.5,0.6,0.48,audio/let_it_be.mp3,lyrics/let_it_be.txt
26,Rolling in the Deep,Adele,English,Yes,Yes,,,,active,There's a fire starting in my heart...,Powerful,Pop,2010,228,105,C,0.85,0.55,0.55,audio/rolling_in_the_deep.mp3,lyrics/rolling_in_the_deep.txt
27,Someone You Loved,Lewis Capaldi,English,Yes,Yes,,,,active,I'm going under and this time I fear there's no one to save me...,Sad,Pop,2018,182,110,F,0.3,0.25,0.42,audio/someone_you_loved.mp3,lyrics/someone_you_loved.txt
28,Bad Guy,Billie Eilish,English,Yes,Yes,,,,active,So you're a tough guy...,Playful,Pop,2019,194,135,G#,0.8,0.7,0.58,audio/bad_guy.mp3,lyrics/bad_guy.txt
29,Thinking Out Loud,Ed Sheeran,English,Yes,Yes,,,,active,When your legs don't work like they used to before...,Romantic,Pop,2014,281,79,D,0.6,0.75,0.5,audio/thinking_out_loud.mp3,lyrics/thinking_out_loud.txt
30,Stay With Me,Sam Smith,English,Yes,Yes,,,,active,"Guess it's true, I'm not good at a one-night stand...",Sad,Soul,2014,172,84,A,0.4,0.3,0.44,audio/stay_with_me.mp3,lyrics/stay_with_me.txt
31,Uptown Funk,Mark Ronson ft. Bruno Mars,English,Yes,Yes,,,,active,"This hit, that ice cold...",Energetic,Funk,2014,270,115,D#,0.9,0.95,0.6,audio/uptown_funk.mp3,lyrics/uptown_funk.txt
32,Someone Like You,Adele,English,Yes,Yes,,,,active,I heard that you're settled down...,Melancholic,Pop,2011,285,67,A,0.4,0.3,0.45,audio/someone_like_you.mp3,lyrics/someone_like_you.txt
33,Counting Stars,OneRepublic,English,Yes,Yes,,,,active,"Lately, I've been, I've been losing sleep...",Hopeful,Pop,2013,257,122,C#m,0.75,0.8,0.56,audio/counting_stars.mp3,lyrics/counting_stars.txt
34,Firework,Katy Perry,English,Yes,Yes,,,,active,Do you ever feel like a plastic bag...,Inspiring,Pop,2010,228,124,G#,0.85,0.9,0.59,audio/firework.mp3,lyrics/firework.txt
35,Lose Yourself,Eminem,English,Yes,Yes,,,,active,"Look, if you had one shot...",Motivational,Rap,2002,326,171,D#m,0.95,0.7,0.65,audio/lose_yourself.mp3,lyrics/lose_yourself.txt
36,All of Me,John Legend,English,Yes,Yes,,,,active,What would I do without your smart mouth...,Romantic,R&B,2013,269,120,Ab,0.5,0.7,0.48,audio/all_of_me.mp3,lyrics/all_of_me.txt
37,Eye of the Tiger,Survivor,English,Yes,Yes,,,,active,"Risin' up, back on the street...",Motivational,Rock,1982,245,109,C,0.9,0.85,0.6,audio/eye_of_the_tiger.mp3,lyrics/eye_of_the_tiger.txt
38,Thinking Out Loud,Ed Sheeran,English,Yes,Yes,,,,active,When your legs don't work like they used to before...,Romantic,Pop,2014,281,79,D,0.6,0.75,0.5,audio/thinking_out_loud.mp3,lyrics/thinking_out_loud.txt
39,Perfect,Ed Sheeran,English,Yes,Yes,,,,active,I found a love for me...,Romantic,Pop,2017,263,63,Ab,0.5,0.8,0.49,audio/perfect.mp3,lyrics/perfect.txt
40,Counting Stars,OneRepublic,English,Yes,Yes,,,,active,"Lately, I've been, I've been losing sleep...",Hopeful,Pop,2013,257,122,C#m,0.75,0.8,0.56,audio/counting_stars.mp3,lyrics/counting_stars.txt
41,Tujhe Kitna Chahne Lage,Arijit Singh,Hindi,Yes,Yes,,,,active,"""Tujhe kitna chahne lage hum...""",Romantic,Bollywood,2019,300,80,D,0.5,0.6,0.43,audio/tujhe_kitna_chahne_lage.mp3,lyrics/tujhe_kitna_chahne_lage.txt
42,Khairiyat,Arijit Singh,Hindi,Yes,Yes,,,,active,"""Khairiyat pucho, kab se door...""",Hopeful,Bollywood,2019,280,78,C,0.45,0.65,0.41,audio/khairiyat.mp3,lyrics/khairiyat.txt
43,Manwa Laage,"Shreya Ghoshal, Arijit Singh",Hindi,Yes,Yes,,,,active,"""Manwa lage, manwa lage...""",Romantic,Bollywood,2015,260,85,F,0.55,0.7,0.46,audio/manwa_laage.mp3,lyrics/manwa_laage.txt
44,Iktara,Kavita Seth,Hindi,Yes,Yes,,,,active,"""Ik tara, ik tara, ik tara...""",Calm,Bollywood,2010,250,70,E,0.35,0.55,0.38,audio/iktara.mp3,lyrics/iktara.txt
45,Kabira,"Arijit Singh, Harshdeep Kaur",Hindi,Yes,Yes,,,,active,"""Kabira maan ja, kabira maan ja...""",Reflective,Bollywood,2013,270,75,G,0.4,0.5,0.4,audio/kabira.mp3,lyrics/kabira.txt
46,Channa Mereya,Arijit Singh,Hindi,Yes,Yes,,,,active,"""Channa mereya mereya...""",Melancholic,Bollywood,2016,280,76,C,0.4,0.45,0.42,audio/channa_mereya.mp3,lyrics/channa_mereya.txt
47,Baharon Phool Barsao,Mohammed Rafi,Hindi,Yes,Yes,,,,active,"""Baharon phool barsao...""",Joyful,Bollywood,1966,230,90,B,0.6,0.7,0.5,audio/baharon_phool_barsao.mp3,lyrics/baharon_phool_barsao.txt
48,Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Hindi,Yes,Yes,,,,active,"""Agar tum saath ho...""",Romantic,Bollywood,2015,290,78,D,0.5,0.6,0.45,audio/agar_tum_saath_ho.mp3,lyrics/agar_tum_saath_ho.txt
49,Maula Mere Maula,Roop Kumar Rathod,Hindi,Yes,Yes,,,,active,"""Maula mere maula...""",Spiritual,Bollywood,2007,300,65,F,0.3,0.55,0.36,audio/maula_mere_maula.mp3,lyrics/maula_mere_maula.txt
50,Tera Yaar Hoon Main,Arijit Singh,Hindi,Yes,Yes,,,,active,"""Tera yaar hoon main...""",Friendly,Bollywood,2018,275,80,C,0.5,0.65,0.44,audio/tera_yaar_hoon_main.mp3,lyrics/tera_yaar_hoon_main.txt
51,Raabta,Arijit Singh,Hindi,Yes,Yes,,,,active,"""Kehte hain khuda ne is jahan mein...""",Romantic,Bollywood,2012,270,82,D,0.48,0.62,0.42,audio/raabta.mp3,lyrics/raabta.txt
52,Dil Diyan Gallan,Atif Aslam,Hindi,Yes,Yes,,,,active,"""Dil diyan gallan, karange naal naal beh ke...""",Romantic,Bollywood,2017,280,75,C,0.5,0.6,0.43,audio/dil_diyan_gallan.mp3,lyrics/dil_diyan_gallan.txt
53,Pee Loon,Mohit Chauhan,Hindi,Yes,Yes,,,,active,"""Pee loon teri neele neele nainon se...""",Romantic,Bollywood,2010,260,80,E,0.52,0.65,0.45,audio/pee_loon.mp3,lyrics/pee_loon.txt
54,Sun Saathiya,"Priya Saraiya, Divya Kumar",Hindi,Yes,Yes,,,,active,"""Sun saathiya, sun saathiya...""",Romantic,Bollywood,2015,275,85,G,0.53,0.67,0.46,audio/sun_saathiya.mp3,lyrics/sun_saathiya.txt
55,Galliyan,Ankit Tiwari,Hindi,Yes,Yes,,,,active,"""Teri galliyan, galliyan teri galliyan...""",Romantic,Bollywood,2014,270,78,C,0.5,0.6,0.44,audio/galliyan.mp3,lyrics/galliyan.txt
56,Tum Mile,Neeraj Shridhar,Hindi,Yes,Yes,,,,active,"""Tum mile, toh jeena hai...""",Romantic,Bollywood,2009,280,74,D,0.48,0.6,0.42,audio/tum_mile.mp3,lyrics/tum_mile.txt
57,Muskurane,Arijit Singh,Hindi,Yes,Yes,,,,active,"""Muskurane ki wajah tum ho...""",Romantic,Bollywood,2014,265,76,C,0.5,0.65,0.43,audio/muskurane.mp3,lyrics/muskurane.txt
58,Zinda,Siddharth Mahadevan,Hindi,Yes,Yes,,,,active,"""Zinda hoon yaar, kaafi hai...""",Energetic,Bollywood,2013,300,120,E,0.7,0.55,0.5,audio/zinda.mp3,lyrics/zinda.txt
59,Ruk Jaana Nahin,Kishore Kumar,Hindi,Yes,Yes,,,,active,"""Ruk jaana nahin tu kahin haar ke...""",Motivational,Bollywood,1973,240,90,C,0.65,0.7,0.48,audio/ruk_jaana_nahin.mp3,lyrics/ruk_jaana_nahin.txt
60,Aashayein,KK,Hindi,Yes,Yes,,,,active,"""Aashayein aashayein, aashayein...""",Hopeful,Bollywood,2008,260,85,D,0.55,0.68,0.45,audio/aashayein.mp3,lyrics/aashayein.txt
61,Besabriyaan,Armaan Malik,Hindi,Yes,Yes,,,,active,"""Besabriyaan, besabriyaan...""",Romantic,Bollywood,2018,250,78,G,0.5,0.63,0.44,audio/besabriyaan.mp3,lyrics/besabriyaan.txt
62,Phir Se Ud Chala,Mohit Chauhan,Hindi,Yes,Yes,,,,active,"""Phir se ud chala, main kahin door...""",Hopeful,Bollywood,2013,280,80,D,0.52,0.6,0.45,audio/phir_se_ud_chala.mp3,lyrics/phir_se_ud_chala.txt
63,Jeetega Jeetega,Various Artists,Hindi,Yes,Yes,,,,active,"""Jeetega jeetega...""",Motivational,Bollywood,2011,230,92,C,0.6,0.7,0.48,audio/jeetega_jeetega.mp3,lyrics/jeetega_jeetega.txt
64,Dil Dhadakne Do,"Priyanka Chopra, Farhan Akhtar",Hindi,Yes,Yes,,,,active,"""Dil dhadakne do...""",Joyful,Bollywood,2015,270,90,E,0.55,0.7,0.46,audio/dil_dhadakne_do.mp3,lyrics/dil_dhadakne_do.txt
65,Brothers Anthem,Vishal Dadlani,Hindi,Yes,Yes,,,,active,"""Brothers anthem, brothers anthem...""",Energetic,Bollywood,2016,260,110,F,0.65,0.58,0.5,audio/brothers_anthem.mp3,lyrics/brothers_anthem.txt
66,Maula Mere Maula,Roop Kumar Rathod,Hindi,Yes,Yes,,,,active,"""Maula mere maula...""",Spiritual,Bollywood,2006,290,70,C,0.45,0.55,0.42,audio/maula_mere_maula.mp3,lyrics/maula_mere_maula.txt
67,Tera Ban Jaunga,"Akhil Sachdeva, Tulsi Kumar",Hindi,Yes,Yes,,,,active,"""Tera ban jaunga...""",Romantic,Bollywood,2018,280,75,D,0.5,0.62,0.44,audio/tera_ban_jaunga.mp3,lyrics/tera_ban_jaunga.txt
68,Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Hindi,Yes,Yes,,,,active,"""Tujh mein rab dikhta hai...""",Romantic,Bollywood,2008,265,72,E,0.48,0.63,0.43,audio/tujh_mein_rab_dikhta_hai.mp3,lyrics/tujh_mein_rab_dikhta_hai.txt
69,Jeene Laga Hoon,"Atif Aslam, Shreya Ghoshal",Hindi,Yes,Yes,,,,active,"""Jeene laga hoon...""",Romantic,Bollywood,2009,275,78,C,0.5,0.65,0.44,audio/jeene_laga_hoon.mp3,lyrics/jeene_laga_hoon.txt
70,Tum Hi Ho,Arijit Singh,Hindi,Yes,Yes,,,,active,"""Tum hi ho, tum hi ho...""",Romantic,Bollywood,2013,280,70,D,0.48,0.67,0.45,audio/tum_hi_ho.mp3,lyrics/tum_hi_ho.txt
71,Mehndi Laga Ke Rakhna,"Lata Mangeshkar, Udit Narayan",Hindi,Yes,Yes,,,,active,"""Mehndi laga ke rakhna...""",Festive,Bollywood,1995,320,100,F,0.6,0.75,0.52,audio/mehndi_laga_ke_rakhna.mp3,lyrics/mehndi_laga_ke_rakhna.txt
72,Ajeeb Dastan Hai Yeh,Lata Mangeshkar,Hindi,Yes,Yes,,,,active,"""Ajeeb dastan hai yeh...""",Nostalgic,Bollywood,1960,290,68,C,0.45,0.55,0.4,audio/ajeeb_dastan_hai_yeh.mp3,lyrics/ajeeb_dastan_hai_yeh.txt
73,Kajra Re,"Alisha Chinai, Shankar Mahadevan, Javed Ali",Hindi,Yes,Yes,,,,active,"""Kajra re, kajra re...""",Playful,Bollywood,2005,275,110,G,0.65,0.7,0.5,audio/kajra_re.mp3,lyrics/kajra_re.txt
74,Kal Ho Naa Ho,Sonu Nigam,Hindi,Yes,Yes,,,,active,"""Kal ho naa ho...""",Emotional,Bollywood,2003,300,85,D,0.55,0.6,0.47,audio/kal_ho_naa_ho.mp3,lyrics/kal_ho_naa_ho.txt
75,Ziddi Dil,Vishal Dadlani,Hindi,Yes,Yes,,,,active,"""Ziddi dil mera...""",Energetic,Bollywood,2014,260,120,E,0.68,0.62,0.52,audio/ziddi_dil.mp3,lyrics/ziddi_dil.txt
76,Chahun Main Ya Naa,"Arijit Singh, Palak Muchhal",Hindi,Yes,Yes,,,,active,"""Chahun main ya naa...""",Romantic,Bollywood,2015,270,74,C,0.5,0.63,0.44,audio/chahun_main_ya_naa.mp3,lyrics/chahun_main_ya_naa.txt
77,Tum Ho,Mohit Chauhan,Hindi,Yes,Yes,,,,active,"""Tum ho, tum ho...""",Romantic,Bollywood,2016,280,70,D,0.48,0.65,0.43,audio/tum_ho.mp3,lyrics/tum_ho.txt
78,Hum Mar Jayenge,"Arijit Singh, Tulsi Kumar",Hindi,Yes,Yes,,,,active,"""Hum mar jayenge...""",Emotional,Bollywood,2017,265,72,F,0.47,0.58,0.42,audio/hum_mar_jayenge.mp3,lyrics/hum_mar_jayenge.txt
79,Tere Mere,Armaan Malik,Hindi,Yes,Yes,,,,active,"""Tere mere darmiyan...""",Romantic,Bollywood,2018,275,76,E,0.5,0.64,0.44,audio/tere_mere.mp3,lyrics/tere_mere.txt
80,Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Hindi,Yes,Yes,,,,active,"""Agar tum saath ho...""",Emotional,Bollywood,2016,290,68,C,0.48,0.6,0.43,audio/agar_tum_saath_ho.mp3,lyrics/agar_tum_saath_ho.txt
81,Maula Mere Maula,Roop Kumar Rathod,Hindi,Yes,Yes,,,,active,"""Maula mere maula...""",Spiritual,Bollywood,2003,310,60,D,0.42,0.68,0.38,audio/maula_mere_maula.mp3,lyrics/maula_mere_maula.txt
82,Tera Yaar Hoon Main,Arijit Singh,Hindi,Yes,Yes,,,,active,"""Tera yaar hoon main...""",Friendship,Bollywood,2018,280,78,C,0.55,0.7,0.45,audio/tera_yaar_hoon_main.mp3,lyrics/tera_yaar_hoon_main.txt
83,Raabta,Arijit Singh,Hindi,Yes,Yes,,,,active,"""Raabta, raabta...""",Romantic,Bollywood,2012,300,75,D,0.6,0.72,0.47,audio/raabta.mp3,lyrics/raabta.txt
